dataset_enum,dataset_value,dataset_type,file_path,num_nodes,num_edges,num_parts,cut_edges,balance_gap,is_valid,time_sec,part_sizes
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,2708,5278,2,2623,0,True,0.0005180835723876953,1354 1354
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,3279,4552,2,2289,1,True,0.0006136894226074219,1640 1639
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,13471,245861,2,123157,1,True,0.002505064010620117,6736 6735
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7535,119081,2,59370,1,True,0.0014162063598632812,3768 3767
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,19717,44324,2,22063,1,True,0.0037224292755126953,9859 9858
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2591,3528,2,1792,1,True,0.0004832744598388672,1296 1295
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,131,1003,2,475,1,True,3.933906555175781e-05,66 65
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,399,5993,2,2962,1,True,9.322166442871094e-05,200 199
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1190,13599,2,6776,0,True,0.00023174285888671875,595 595
