dataset_enum,dataset_value,dataset_type,file_path,run,seed,num_nodes,num_edges,num_colors,conflict_edges,is_valid,time_sec
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7,3007,7535,119081,44,0,True,0.012792825698852539
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,8,3008,7535,119081,44,0,True,0.012546777725219727
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,9,3009,7535,119081,46,0,True,0.012897491455078125
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,10,3010,7535,119081,43,0,True,0.012940168380737305
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,1,4001,19717,44324,14,0,True,0.009713888168334961
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,2,4002,19717,44324,12,0,True,0.009859323501586914
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,3,4003,19717,44324,12,0,True,0.010035991668701172
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,4,4004,19717,44324,12,0,True,0.009593725204467773
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,5,4005,19717,44324,12,0,True,0.010321855545043945
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,6,4006,19717,44324,13,0,True,0.00966954231262207
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,7,4007,19717,44324,12,0,True,0.009588956832885742
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,8,4008,19717,44324,12,0,True,0.009819507598876953
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,9,4009,19717,44324,13,0,True,0.009553194046020508
