dataset_enum,dataset_value,dataset_type,file_path,run,seed,num_nodes,num_edges,mds_size,undominated_nodes,is_valid,time_sec
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7,3008,7535,119081,1476,0,True,11.504529476165771
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,8,3009,7535,119081,1406,0,True,10.997490167617798
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,9,3010,7535,119081,1467,0,True,11.513123750686646
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,10,3011,7535,119081,1394,0,True,10.988874673843384
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,1,4002,19717,44324,8952,0,True,38.58147883415222
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,2,4003,19717,44324,8902,0,True,38.40808463096619
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,3,4004,19717,44324,9042,0,True,39.037537813186646
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,4,4005,19717,44324,9182,0,True,39.40008497238159
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,5,4006,19717,44324,8839,0,True,38.26674747467041
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,6,4007,19717,44324,8923,0,True,38.25670099258423
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,7,4008,19717,44324,9015,0,True,38.2303364276886
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,8,4009,19717,44324,9110,0,True,39.15081858634949
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,9,4010,19717,44324,8935,0,True,38.26946544647217
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,10,4011,19717,44324,8960,0,True,38.4415180683136
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,1,5002,2591,3528,1169,0,True,0.44199609756469727
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2,5003,2591,3528,1190,0,True,0.4465351104736328
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,3,5004,2591,3528,1177,0,True,0.44577789306640625
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,4,5005,2591,3528,1221,0,True,0.4621133804321289
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,5,5006,2591,3528,1198,0,True,0.4535050392150879
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,6,5007,2591,3528,1207,0,True,0.4609050750732422
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,7,5008,2591,3528,1187,0,True,0.4491536617279053
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,8,5009,2591,3528,1196,0,True,0.45047760009765625
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,9,5010,2591,3528,1201,0,True,0.45868945121765137
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,10,5011,2591,3528,1183,0,True,0.45568227767944336
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,1,6002,131,1003,39,0,True,0.0014400482177734375
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,2,6003,131,1003,41,0,True,0.0017461776733398438
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,3,6004,131,1003,48,0,True,0.0017547607421875
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,4,6005,131,1003,33,0,True,0.0012884140014648438
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,5,6006,131,1003,39,0,True,0.0014843940734863281
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,6,6007,131,1003,46,0,True,0.0016684532165527344
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,7,6008,131,1003,36,0,True,0.0015456676483154297
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,8,6009,131,1003,46,0,True,0.001809835433959961
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,9,6010,131,1003,44,0,True,0.0016863346099853516
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,10,6011,131,1003,46,0,True,0.0017597675323486328
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,1,7002,399,5993,84,0,True,0.0194242000579834
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,2,7003,399,5993,83,0,True,0.019279003143310547
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,3,7004,399,5993,88,0,True,0.021630048751831055
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,4,7005,399,5993,79,0,True,0.019338369369506836
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,5,7006,399,5993,86,0,True,0.020285844802856445
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,6,7007,399,5993,85,0,True,0.01898360252380371
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,7,7008,399,5993,92,0,True,0.02326488494873047
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,8,7009,399,5993,87,0,True,0.019916296005249023
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,9,7010,399,5993,76,0,True,0.01787590980529785
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,10,7011,399,5993,75,0,True,0.01865983009338379
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1,8002,1190,13599,392,0,True,0.2150590419769287
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,2,8003,1190,13599,421,0,True,0.23104047775268555
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,3,8004,1190,13599,395,0,True,0.21326160430908203
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,4,8005,1190,13599,412,0,True,0.22838139533996582
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,5,8006,1190,13599,393,0,True,0.22262930870056152
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,6,8007,1190,13599,362,0,True,0.20243096351623535
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,7,8008,1190,13599,359,0,True,0.2072298526763916
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,8,8009,1190,13599,409,0,True,0.2334728240966797
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,9,8010,1190,13599,390,0,True,0.2073230743408203
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,10,8011,1190,13599,407,0,True,0.21384859085083008
