dataset_enum,dataset_value,dataset_type,file_path,num_nodes,num_edges,num_parts,cut_edges,balance_gap,is_valid,time_sec,part_sizes
Graph_Cora,cora_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/cora_graph.txt,2708,5278,2,704,0,True,0.0019288063049316406,1354 1354
Graph_Citeseer,citeseer_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/citeseer_graph.txt,3279,4552,2,324,1,True,0.0019621849060058594,1640 1639
Graph_Amazon_PC,amazon_electronics_computers_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_computers_graph.txt,13471,245861,2,42672,1,True,0.04193520545959473,6736 6735
Graph_Amazon_Photo,amazon_electronics_photo_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/amazon_electronics_photo_graph.txt,7535,119081,2,9242,1,True,0.020342111587524414,3768 3767
Graph_Pubmed,pubmed_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/pubmed_graph.txt,19717,44324,2,6552,1,True,0.015176534652709961,9859 9858
Graph_dblp,dblp_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/dblp_graph.txt,2591,3528,2,256,1,True,0.0015964508056640625,1296 1295
Graph_bat,bat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/bat_graph.txt,131,1003,2,210,1,True,0.00016951560974121094,66 65
Graph_eat,eat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/eat_graph.txt,399,5993,2,1084,1,True,0.0008859634399414062,200 199
Graph_uat,uat_graph,graph,/home/dingning/毕设/Mine/src/../data/graph/uat_graph.txt,1190,13599,2,1220,0,True,0.0022139549255371094,595 595
