dataset_enum,dataset_value,num_nodes,num_edges,best_mds_size,best_run,best_seed,best_undominated_nodes,best_is_valid,best_repair_added_nodes,avg_mds_size,std_mds_size,avg_valid_mds_size,std_valid_mds_size,avg_raw_mds_size,avg_raw_undominated_nodes,avg_repair_added_nodes,valid_runs,avg_undominated_nodes,avg_time_sec,std_time_sec,best_time_sec
Graph_bat,bat_graph,131,1003,10,8,8,0,True,9,77.4,38.105642626781666,77.4,38.105642626781666,75.1,24.2,2.3,10,0.0,0.12324817180633545,0.005043278333161624,0.1205434799194336
Graph_eat,eat_graph,399,5993,33,1,1001,0,True,30,228.3,139.59659737973558,228.3,139.59659737973558,216.0,114.8,12.3,10,0.0,0.164469575881958,0.003406614116057961,0.17413330078125
Graph_uat,uat_graph,1190,13599,245,9,2009,0,True,125,682.8,333.1782705999898,682.8,333.1782705999898,620.6,330.4,62.2,10,0.0,0.26077749729156496,0.004317820992577444,0.262650728225708
Graph_dblp,dblp_graph,2591,3528,1060,9,3009,0,True,702,1698.2,368.1567057653575,1698.2,368.1567057653575,1311.9,953.2,386.3,10,0.0,0.2182915210723877,0.009631026890429635,0.21254515647888184
Graph_Cora,cora_graph,2708,5278,946,1,4001,0,True,511,1812.8,597.5365762863391,1812.8,597.5365762863391,1577.9,709.3,234.9,10,0.0,0.2262744903564453,0.005252318033602102,0.23082733154296875
Graph_Citeseer,citeseer_graph,3279,4552,1255,8,5008,0,True,944,2030.4,488.2186395458494,2030.4,488.2186395458494,1488.5,1340.9,541.9,10,0.0,0.23681576251983644,0.005432909247295661,0.2494797706604004
Graph_Amazon_Photo,amazon_electronics_photo_graph,7650,119081,666,10,6010,0,True,656,3022.9,2551.201224913472,3022.9,2551.201224913472,2644.4,3466.6,378.5,10,0.0,1.3184194326400758,0.03417103148445289,1.2735190391540527
Graph_Amazon_PC,amazon_electronics_computers_graph,13752,245861,2179,9,7009,0,True,991,6704.8,3840.787466132434,6704.8,3840.787466132434,6144.3,3152.2,560.5,10,0.0,2.7823312520980834,0.04067544617699652,2.8279054164886475
Graph_Pubmed,pubmed_graph,19717,44324,8051,2,8002,0,True,2178,12057.9,2960.016400292404,12057.9,2960.016400292404,10865.3,3921.2,1192.6,10,0.0,1.6560607194900512,0.1667908446946307,1.7944259643554688
