dataset_enum,dataset_value,num_nodes,num_edges,best_mis_size,best_run,best_seed,best_violation_edges,best_is_valid,avg_mis_size,std_mis_size,avg_valid_mis_size,std_valid_mis_size,valid_runs,avg_violation_edges,avg_time_sec,std_time_sec,best_time_sec
Graph_bat,bat_graph,131,1003,46,6,6,0,True,40.9,4.4147480109288235,39.625,3.9031237489989987,8,0.2,35.64338393211365,10.7678415915192,35.2513587474823
Graph_eat,eat_graph,399,5993,149,5,1005,0,True,139.1,20.539961051569694,149.0,0.0,1,1.3,33.60926194190979,1.9113394599670595,34.86290264129639
Graph_uat,uat_graph,1190,13599,444,1,2001,8,False,415.8,24.55524383914768,,,0,4.9,40.416928839683536,1.554540488567053,40.17581915855408
Graph_dblp,dblp_graph,2591,3528,681,6,3006,115,False,652.1,23.65354096113307,,,0,112.7,34.24410207271576,3.056783991848949,34.0898699760437
Graph_Cora,cora_graph,2708,5278,712,2,4002,51,False,632.9,48.669189432329766,,,0,41.7,61.33409368991852,6.53255537695555,58.27070474624634
Graph_Citeseer,citeseer_graph,3279,4552,901,6,5006,134,False,834.7,38.44489562997928,,,0,125.5,67.45865030288697,15.335581753871407,56.845280170440674
Graph_Amazon_Photo,amazon_electronics_photo_graph,7650,119081,1456,4,6004,24,False,1386.1,62.23897492729134,,,0,16.9,627.5214221000672,132.11899442928902,555.7524750232697
Graph_Amazon_PC,amazon_electronics_computers_graph,13752,245861,2581,9,7009,32,False,2411.9,93.39962526691421,,,0,30.5,1589.8751350164414,119.42188742807207,1715.1438374519348
Graph_Pubmed,pubmed_graph,19717,44324,14973,3,8003,8,False,14684.1,192.92664409044178,,,0,7.4,2550.1649729013443,615.8233130586203,3921.7377145290375
